@RELATION weekly

@ATTRIBUTE weekly_symbol string
@ATTRIBUTE stock_open real
@ATTRIBUTE high real
@ATTRIBUTE low real
@ATTRIBUTE stock_close real
@ATTRIBUTE adjusted_close real
@ATTRIBUTE volume real
@ATTRIBUTE dividend_amount real
@ATTRIBUTE cobdate_partition DATE "yyyy-MM-dd"

@DATA
JPM,32.99,34.0,32.94,33.66,20.8236,32752600,0.0,"2003-08-15"
JPM,34.1,35.43,33.66,33.92,20.9845,41527800,0.0,"2003-08-22"
JPM,33.72,34.56,33.0,34.22,21.1701,33449400,0.0,"2003-08-29"
JPM,34.42,35.04,34.08,34.19,21.1515,28910100,0.0,"2003-09-05"
JPM,34.34,34.8,33.16,34.0,21.034,33800600,0.0,"2003-09-12"
JPM,34.0,35.87,33.72,35.49,21.9558,46561400,0.0,"2003-09-19"
JPM,35.01,35.75,33.94,34.19,21.1515,48246400,0.0,"2003-09-26"
JPM,34.4,35.8,33.86,35.17,21.969,45769800,0.34,"2003-10-03"
JPM,35.2,36.21,35.121,35.52,22.1877,42730900,0.0,"2003-10-10"
JPM,35.56,36.99,35.56,36.34,22.6999,35051000,0.0,"2003-10-17"
JPM,36.15,36.9,34.63,34.77,21.7192,51983200,0.0,"2003-10-24"
JPM,35.25,36.2,34.791,35.9,22.425,42365500,0.0,"2003-10-31"
JPM,36.22,36.76,36.02,36.04,22.5125,35952200,0.0,"2003-11-07"
JPM,36.01,36.27,35.102,35.46,22.1502,27726100,0.0,"2003-11-14"
JPM,35.2,35.55,34.45,35.0,21.8628,36866400,0.0,"2003-11-21"
JPM,35.17,35.65,34.99,35.4,22.1127,19167700,0.0,"2003-11-28"
JPM,35.61,35.99,34.85,34.96,21.8379,33729700,0.0,"2003-12-05"
JPM,34.73,35.5,34.5,35.09,21.9191,33269400,0.0,"2003-12-12"
JPM,35.5,35.78,35.11,35.78,22.3501,42509600,0.0,"2003-12-19"
JPM,35.77,36.31,35.65,36.22,22.6249,19284600,0.0,"2003-12-26"
JPM,36.27,37.07,36.23,36.62,23.0872,26312300,0.34,"2004-01-02"
JPM,36.66,39.14,36.3,38.76,24.4363,67801100,0.0,"2004-01-09"
JPM,38.5,39.95,38.42,39.27,24.7579,92019000,0.0,"2004-01-16"
JPM,39.4,40.53,38.88,39.6,24.9659,65780900,0.0,"2004-01-23"
JPM,39.45,40.282,38.4,38.89,24.5183,57518600,0.0,"2004-01-30"
JPM,39.1,39.82,38.61,39.73,25.0479,37382500,0.0,"2004-02-06"
JPM,39.85,40.65,39.32,40.16,25.319,39998100,0.0,"2004-02-13"
JPM,40.42,41.12,40.25,40.57,25.5775,39929500,0.0,"2004-02-20"
JPM,40.58,41.2,39.95,41.02,25.8612,44676300,0.0,"2004-02-27"
JPM,41.23,43.84,41.12,43.01,27.1158,53002700,0.0,"2004-03-05"
JPM,43.04,43.49,41.13,41.52,26.1764,50930200,0.0,"2004-03-12"
JPM,41.28,42.45,40.75,41.33,26.0566,43885800,0.0,"2004-03-19"
JPM,41.25,41.68,40.44,41.25,26.0062,42548700,0.0,"2004-03-26"
JPM,41.47,42.57,41.1,41.53,26.397,46271300,0.34,"2004-04-02"
JPM,41.28,41.77,41.0,41.15,26.1555,30034900,0.0,"2004-04-08"
JPM,41.16,41.64,38.24,39.26,24.9542,55136500,0.0,"2004-04-16"
JPM,39.25,39.49,37.45,38.3,24.344,56343900,0.0,"2004-04-23"
JPM,38.31,39.58,37.46,37.6,23.8991,41035200,0.0,"2004-04-30"
JPM,38.01,38.75,36.47,36.48,23.1872,46543200,0.0,"2004-05-07"
JPM,35.95,36.39,34.62,35.66,22.666,76136400,0.0,"2004-05-14"
JPM,35.06,36.3,34.75,36.08,22.9329,44584200,0.0,"2004-05-21"
JPM,36.27,37.1,35.8,36.84,23.416,33494200,0.0,"2004-05-28"
JPM,36.8,37.49,36.5,37.28,23.6957,24999700,0.0,"2004-06-04"
JPM,37.53,38.19,37.48,37.8,24.0262,25662800,0.0,"2004-06-10"
JPM,37.73,37.73,37.02,37.23,23.6639,39079600,0.0,"2004-06-18"
JPM,37.2,38.51,36.7,37.99,24.147,47034600,0.0,"2004-06-25"
JPM,38.09,38.85,37.7,38.08,24.4198,61944700,0.34,"2004-07-02"
JPM,38.0,38.02,36.63,36.83,23.6182,45550800,0.0,"2004-07-09"
JPM,37.0,37.28,35.76,35.87,23.0026,52307100,0.0,"2004-07-16"
JPM,35.95,37.8,35.496,36.53,23.4258,61953800,0.0,"2004-07-23"
JPM,36.44,37.49,36.16,37.33,23.9388,41582400,0.0,"2004-07-30"
JPM,37.23,37.51,35.9,36.09,23.1436,42044800,0.0,"2004-08-06"
JPM,36.06,37.02,35.95,36.87,23.6438,37025200,0.0,"2004-08-13"
